-;Gothic metal;Industrial;Folk metal;Death metal;Heavy metal;Atmospheric black metal;Black metal;Melodic death metal;Doom metal;Blackgaze
1- Gothic metal;9;6;7;5;2;1;4;3;8;0
2- Industrial;6;9;0;8;7;2;5;4;3;1
3- Folk metal;7;0;9;4;6;3;1;8;2;5
4- Death metal;5;8;4;9;1;0;2;7;6;3
5- Heavy metal;2;7;6;1;9;5;3;0;4;8
6- Atmospheric black metal;1;2;3;0;5;9;8;6;7;4
7- Black metal;4;5;1;2;3;8;9;7;0;6
8- Melodic death metal;3;4;8;7;0;6;7;9;1;5
9- Doom metal;8;3;2;6;4;7;0;1;9;2
10- Blackgaze;0;1;5;3;8;4;6;5;2;9

